timestamp,event_type,symbol,data
11:13:06.812,tsl_create,ETH-USDT,regime=ranging | entry=2766.2900 | side=short | min_hold=40.0000 | timeout=90.0000
11:13:06.812,config,ETH-USDT,regime=ranging | min_holding=40.0000 | timeout=90.0000 | loss_cut=3.0000 | timeout_loss=2.0000 | tp_atr_mult=None | initial_trail=0.0400
11:13:07.402,tsl_check,ETH-USDT,check=min_holding_BLOCKED | minutes=0.0098 | min_hold=80.0000 | profit=0.0065
11:13:07.714,tsl_create,ETH-USDT,regime=ranging | entry=2766.2900 | side=short | min_hold=40.0000 | timeout=90.0000
11:13:07.714,config,ETH-USDT,regime=ranging | min_holding=40.0000 | timeout=90.0000 | loss_cut=3.0000 | timeout_loss=2.0000 | tp_atr_mult=None | initial_trail=0.0400
11:13:23.662,tsl_check,ETH-USDT,check=min_holding_BLOCKED | minutes=0.2656 | min_hold=80.0000 | profit=0.0068
11:13:24.345,tsl_check,ETH-USDT,check=min_holding_BLOCKED | minutes=0.2772 | min_hold=40.0000 | profit=-0.0018
11:13:34.459,tsl_check,ETH-USDT,check=min_holding_BLOCKED | minutes=0.4458 | min_hold=40.0000 | profit=-0.0018
11:13:35.707,tsl_check,ETH-USDT,check=min_holding_BLOCKED | minutes=0.4665 | min_hold=80.0000 | profit=0.0070
11:13:43.454,tsl_check,ETH-USDT,check=min_holding_BLOCKED | minutes=0.5957 | min_hold=40.0000 | profit=-0.0018
11:13:46.703,tsl_check,ETH-USDT,check=min_holding_BLOCKED | minutes=0.6498 | min_hold=80.0000 | profit=0.0070
11:13:47.770,tsl_check,ETH-USDT,check=min_holding_BLOCKED | minutes=0.6676 | min_hold=40.0000 | profit=-0.0018
11:13:51.413,tsl_check,ETH-USDT,check=min_holding_BLOCKED | minutes=0.7283 | min_hold=40.0000 | profit=-0.0018
11:13:52.157,tsl_check,ETH-USDT,check=min_holding_BLOCKED | minutes=0.7407 | min_hold=40.0000 | profit=-0.0018
11:13:59.429,tsl_check,ETH-USDT,check=min_holding_BLOCKED | minutes=0.8619 | min_hold=80.0000 | profit=0.0069
11:14:00.712,tsl_check,ETH-USDT,check=min_holding_BLOCKED | minutes=0.8833 | min_hold=40.0000 | profit=-0.0018
