timestamp,event_type,symbol,data
20:40:13.862,tsl_create,ETH-USDT,regime=ranging | entry=2947.4000 | side=short | min_hold=60.0000 | timeout=120.0000
20:40:13.862,config,ETH-USDT,regime=ranging | min_holding=60.0000 | timeout=120.0000 | loss_cut=4.0000 | timeout_loss=2.0000 | tp_atr_mult=None | initial_trail=0.0200
20:40:30.894,tsl_create,BTC-USDT,regime=ranging | entry=88369.2000 | side=long | min_hold=60.0000 | timeout=120.0000
20:40:30.895,config,BTC-USDT,regime=ranging | min_holding=60.0000 | timeout=120.0000 | loss_cut=4.0000 | timeout_loss=2.0000 | tp_atr_mult=None | initial_trail=0.0200
20:40:30.896,open,BTC-USDT,side=long | price=88369.2000 | size=0.0028 | regime=ranging
20:46:43.059,tsl_create,XRP-USDT,regime=ranging | entry=2.1816 | side=short | min_hold=60.0000 | timeout=120.0000
20:46:43.060,config,XRP-USDT,regime=ranging | min_holding=60.0000 | timeout=120.0000 | loss_cut=4.0000 | timeout_loss=2.0000 | tp_atr_mult=None | initial_trail=0.0200
21:13:14.310,tsl_create,BTC-USDT,regime=ranging | entry=89480.2000 | side=short | min_hold=60.0000 | timeout=120.0000
21:13:14.314,config,BTC-USDT,regime=ranging | min_holding=60.0000 | timeout=120.0000 | loss_cut=4.0000 | timeout_loss=2.0000 | tp_atr_mult=None | initial_trail=0.0200
