timestamp,event_type,symbol,data
23:52:09.056,tsl_create,SOL-USDT,regime=ranging | entry=132.9000 | side=long | min_hold=60.0000 | timeout=120.0000
23:52:09.091,config,SOL-USDT,regime=ranging | min_holding=60.0000 | timeout=120.0000 | loss_cut=4.0000 | timeout_loss=2.0000 | tp_atr_mult=None | initial_trail=0.0200
23:52:54.705,tsl_create,DOGE-USDT,regime=ranging | entry=0.1480 | side=short | min_hold=60.0000 | timeout=120.0000
23:52:54.706,config,DOGE-USDT,regime=ranging | min_holding=60.0000 | timeout=120.0000 | loss_cut=4.0000 | timeout_loss=2.0000 | tp_atr_mult=None | initial_trail=0.0200
23:52:54.708,open,DOGE-USDT,side=short | price=0.1480 | size=1050.0000 | regime=ranging
23:52:57.070,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=0.0395 | min_hold=120.0000 | profit=0.0099
23:53:07.686,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=0.2164 | min_hold=60.0000 | profit=-0.0030
23:53:07.687,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=0.2164 | min_hold=60.0000 | profit=-0.0030
23:53:10.063,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=0.2560 | min_hold=120.0000 | profit=0.0099
23:53:14.079,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=0.3229 | min_hold=60.0000 | profit=-0.0030
23:53:22.607,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=0.4651 | min_hold=120.0000 | profit=0.0099
23:53:23.293,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=0.4765 | min_hold=60.0000 | profit=-0.0030
23:53:35.242,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=0.6756 | min_hold=120.0000 | profit=0.0096
23:53:47.961,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=0.8876 | min_hold=120.0000 | profit=0.0096
23:54:00.249,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=1.0924 | min_hold=120.0000 | profit=0.0095
23:54:13.612,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=1.3151 | min_hold=120.0000 | profit=0.0095
23:54:26.205,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=1.5250 | min_hold=120.0000 | profit=0.0095
23:54:38.751,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=1.7341 | min_hold=120.0000 | profit=0.0093
23:54:51.722,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=1.9503 | min_hold=120.0000 | profit=0.0097
23:55:05.556,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=2.1809 | min_hold=120.0000 | profit=0.0091
23:55:20.169,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=2.4244 | min_hold=120.0000 | profit=0.0101
23:55:33.984,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=2.6547 | min_hold=120.0000 | profit=0.0101
23:55:47.457,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=2.8792 | min_hold=120.0000 | profit=0.0101
23:56:02.644,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=3.1324 | min_hold=120.0000 | profit=0.0100
23:56:20.382,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=3.4280 | min_hold=120.0000 | profit=0.0099
23:56:35.057,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=3.6726 | min_hold=120.0000 | profit=0.0093
23:56:49.305,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=3.9100 | min_hold=120.0000 | profit=0.0092
23:57:03.321,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=4.1436 | min_hold=120.0000 | profit=0.0090
23:57:17.583,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=4.3813 | min_hold=120.0000 | profit=0.0092
23:57:27.772,tsl_create,BTC-USDT,regime=ranging | entry=87629.2000 | side=short | min_hold=60.0000 | timeout=120.0000
23:57:27.772,config,BTC-USDT,regime=ranging | min_holding=60.0000 | timeout=120.0000 | loss_cut=4.0000 | timeout_loss=2.0000 | tp_atr_mult=None | initial_trail=0.0200
23:57:27.772,open,BTC-USDT,side=short | price=87629.2000 | size=0.0027 | regime=ranging
23:57:30.458,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=4.5959 | min_hold=120.0000 | profit=0.0093
23:57:30.711,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=0.0490 | min_hold=120.0000 | profit=0.0015
23:57:32.507,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=0.0789 | min_hold=60.0000 | profit=-0.0012
23:57:45.738,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=4.8506 | min_hold=120.0000 | profit=0.0093
23:57:45.989,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=0.3036 | min_hold=120.0000 | profit=0.0016
23:57:58.786,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=5.0680 | min_hold=120.0000 | profit=0.0094
23:57:59.094,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=0.5221 | min_hold=120.0000 | profit=0.0017
23:58:12.815,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=5.3018 | min_hold=120.0000 | profit=0.0093
23:58:13.065,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=0.7549 | min_hold=120.0000 | profit=0.0016
23:58:26.197,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=5.5249 | min_hold=120.0000 | profit=0.0087
23:58:26.497,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=0.9788 | min_hold=120.0000 | profit=0.0005
23:58:34.035,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=1.1041 | min_hold=60.0000 | profit=-0.0012
23:58:40.364,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=5.7610 | min_hold=120.0000 | profit=0.0091
23:58:40.607,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=1.2139 | min_hold=120.0000 | profit=0.0008
23:58:55.987,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=6.0214 | min_hold=120.0000 | profit=0.0093
23:58:56.360,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=1.4765 | min_hold=120.0000 | profit=0.0009
23:59:11.279,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=6.2763 | min_hold=120.0000 | profit=0.0095
23:59:11.684,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=1.7319 | min_hold=120.0000 | profit=0.0010
23:59:15.401,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=1.7938 | min_hold=60.0000 | profit=-0.0012
23:59:20.284,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=6.4264 | min_hold=60.0000 | profit=-0.0024
23:59:20.287,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=6.4264 | min_hold=60.0000 | profit=-0.0024
23:59:26.794,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=6.5348 | min_hold=120.0000 | profit=0.0096
23:59:27.176,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=1.9901 | min_hold=120.0000 | profit=0.0011
23:59:42.008,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=2.2373 | min_hold=60.0000 | profit=-0.0012
23:59:42.035,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=2.2377 | min_hold=60.0000 | profit=-0.0012
23:59:42.057,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=6.7892 | min_hold=120.0000 | profit=0.0097
23:59:42.466,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=2.2448 | min_hold=120.0000 | profit=0.0011
23:59:46.205,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=2.3072 | min_hold=60.0000 | profit=-0.0012
23:59:46.206,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=6.8584 | min_hold=60.0000 | profit=-0.0051
23:59:46.207,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=2.3073 | min_hold=60.0000 | profit=-0.0012
