timestamp,symbol,side,price,strength,regime,filters_passed,executed,order_id
2025-12-07T10:51:08.856568,SOL-USDT,buy,132.44000000,1.0000,ranging,"ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate",0,
2025-12-07T10:51:08.857568,ETH-USDT,buy,3041.49000000,0.9000,ranging,"ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate",0,
2025-12-07T10:51:08.857568,DOGE-USDT,buy,0.13920000,0.9000,ranging,"ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate",0,
2025-12-07T10:51:11.621440,SOL-USDT,buy,132.44000000,1.0000,ranging,"ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate",0,
2025-12-07T10:51:11.621440,ETH-USDT,buy,3041.50000000,0.9000,ranging,"ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate",0,
2025-12-07T10:51:11.621440,DOGE-USDT,buy,0.13921000,0.9000,ranging,"ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate",0,
2025-12-07T10:51:15.084470,SOL-USDT,buy,132.44000000,1.0000,ranging,"ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate",0,
2025-12-07T10:51:15.099826,ETH-USDT,buy,3041.50000000,0.9000,ranging,"ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate",0,
2025-12-07T10:51:15.100367,DOGE-USDT,buy,0.13921000,0.9000,ranging,"ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate",0,
2025-12-07T10:51:19.935944,SOL-USDT,buy,132.44000000,1.0000,ranging,"ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate",0,
2025-12-07T10:51:19.935944,DOGE-USDT,buy,0.13921000,0.9000,ranging,"ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate",0,
2025-12-07T10:51:19.935944,BTC-USDT,buy,89320.00000000,0.7944,ranging,"ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate",0,
2025-12-07T10:51:20.069081,SOL-USDT,buy,132.44000000,1.0000,ranging,"ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate",0,
2025-12-07T10:51:20.069081,DOGE-USDT,buy,0.13915000,0.9000,ranging,"ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate",0,
2025-12-07T10:51:20.069081,BTC-USDT,buy,89320.00000000,0.7944,ranging,"ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate",0,
2025-12-07T10:51:21.034512,SOL-USDT,buy,132.44000000,1.0000,ranging,"ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate",0,
