"record_type","timestamp","symbol","side","entry_price","exit_price","size","gross_pnl","commission","net_pnl","duration_sec","reason","win_rate","regime","order_id","order_type","price","strength","filters_passed","executed","status","fill_price","fill_size","execution_time_ms","slippage","event_type","data"
"positions_open","2025-12-22T21:18:32.592370","ETH-USDT","long","2985.46000000","","0.08200000","","","","","","","ranging","3151966112767868928","limit","","","","","","","","","","",""
"positions_open","2025-12-22T21:28:39.227411","ETH-USDT","long","2991.82000000","","0.08200000","","","","","","","ranging","3151986464470401024","limit","","","","","","","","","","",""
"positions_open","2025-12-22T21:35:03.843042","BTC-USDT","long","88430.60000000","","0.00270000","","","","","","","ranging","3151999368263434240","limit","","","","","","","","","","",""
"positions_open","2025-12-22T21:48:14.797215","ETH-USDT","long","2989.90000000","","0.08200000","","","","","","","ranging","3152025909416493056","limit","","","","","","","","","","",""
"positions_open","2025-12-22T21:51:02.726818","BTC-USDT","long","88318.20000000","","0.00270000","","","","","","","ranging","3152031545017565184","limit","","","","","","","","","","",""
"positions_open","2025-12-22T21:54:51.103244","ETH-USDT","long","2985.11000000","","0.08200000","","","","","","","ranging","3152039206534578176","limit","","","","","","","","","","",""
"positions_open","2025-12-22T22:09:22.833020","BTC-USDT","long","88171.90000000","","0.00270000","","","","","","","ranging","3152068462174076928","limit","","","","","","","","","","",""
"positions_open","2025-12-22T22:13:35.769302","ETH-USDT","long","2982.65000000","","0.08200000","","","","","","","ranging","3152076951546036224","limit","","","","","","","","","","",""
"positions_open","2025-12-22T22:31:27.995539","ETH-USDT","long","2991.67000000","","0.08200000","","","","","","","ranging","3152112920118755328","limit","","","","","","","","","","",""
"positions_open","2025-12-22T22:37:32.950869","ETH-USDT","long","2989.01000000","","0.08200000","","","","","","","ranging","3152125165137625088","limit","","","","","","","","","","",""
"positions_open","2025-12-22T22:49:38.684847","BTC-USDT","long","88459.70000000","","0.00270000","","","","","","","ranging","3152149519380578304","limit","","","","","","","","","","",""
"positions_open","2025-12-23T00:06:55.082449","ETH-USDT","long","3004.81000000","","0.08300000","","","","","","","ranging","3152305091417538560","limit","","","","","","","","","","",""
"positions_open","2025-12-23T00:59:43.962805","BTC-USDT","long","88745.00000000","","0.00270000","","","","","","","ranging","3152411415648206848","limit","","","","","","","","","","",""
"positions_open","2025-12-23T01:28:29.313997","BTC-USDT","long","88549.20000000","","0.00270000","","","","","","","ranging","3152469314659483648","limit","","","","","","","","","","",""
"positions_open","2025-12-23T18:09:14.590995","BTC-USDT","long","87434.60000000","","0.00270000","","","","","","","ranging","3154484100125495296","limit","","","","","","","","","","",""
