"record_type","timestamp","symbol","side","entry_price","exit_price","size","gross_pnl","commission","net_pnl","duration_sec","reason","win_rate","regime","order_id","order_type","price","strength","filters_passed","executed","status","fill_price","fill_size","execution_time_ms","slippage","event_type","data"
"signals","2025-12-22T21:53:40.527205","ETH-USDT","buy","","","","","","","","","","ranging","","","2983.05000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T21:54:15.857838","BTC-USDT","buy","","","","","","","","","","ranging","","","88198.50000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T21:54:41.253369","ETH-USDT","buy","","","","","","","","","","ranging","","","2984.36000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T21:55:18.118935","BTC-USDT","buy","","","","","","","","","","ranging","","","88222.00000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T21:55:43.282621","ETH-USDT","buy","","","","","","","","","","ranging","","","2985.10000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T21:56:30.822818","BTC-USDT","buy","","","","","","","","","","ranging","","","88221.90000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T21:56:54.683478","ETH-USDT","buy","","","","","","","","","","ranging","","","2985.11000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T21:57:43.732479","BTC-USDT","buy","","","","","","","","","","ranging","","","88223.10000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T21:57:56.221708","ETH-USDT","buy","","","","","","","","","","ranging","","","2987.06000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T21:58:54.655656","BTC-USDT","buy","","","","","","","","","","ranging","","","88234.40000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T21:59:12.204078","ETH-USDT","buy","","","","","","","","","","ranging","","","2986.92000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:00:06.275741","BTC-USDT","buy","","","","","","","","","","ranging","","","88253.20000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:00:28.392443","ETH-USDT","buy","","","","","","","","","","ranging","","","2986.60000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:01:17.444801","BTC-USDT","buy","","","","","","","","","","ranging","","","88200.00000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:01:41.507921","ETH-USDT","buy","","","","","","","","","","ranging","","","2985.70000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:02:22.572730","BTC-USDT","buy","","","","","","","","","","ranging","","","88193.10000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:02:55.142442","ETH-USDT","buy","","","","","","","","","","ranging","","","2986.80000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:03:45.411009","BTC-USDT","buy","","","","","","","","","","ranging","","","88161.20000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:04:12.552581","ETH-USDT","buy","","","","","","","","","","ranging","","","2980.85000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:04:46.032472","BTC-USDT","buy","","","","","","","","","","ranging","","","88165.60000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:05:12.657188","ETH-USDT","buy","","","","","","","","","","ranging","","","2983.85000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:05:46.242392","BTC-USDT","buy","","","","","","","","","","ranging","","","88229.50000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:06:13.210137","ETH-USDT","buy","","","","","","","","","","ranging","","","2984.15000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:06:54.627061","BTC-USDT","buy","","","","","","","","","","ranging","","","88211.50000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:07:14.615596","ETH-USDT","buy","","","","","","","","","","ranging","","","2983.72000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:08:14.628115","BTC-USDT","buy","","","","","","","","","","ranging","","","88192.40000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:08:14.628115","ETH-USDT","buy","","","","","","","","","","ranging","","","2983.18000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:09:14.806238","BTC-USDT","buy","","","","","","","","","","ranging","","","88135.00000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:09:14.806238","ETH-USDT","buy","","","","","","","","","","ranging","","","2981.60000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:10:15.879224","BTC-USDT","buy","","","","","","","","","","ranging","","","88119.90000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:10:15.879224","ETH-USDT","buy","","","","","","","","","","ranging","","","2982.28000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:11:20.343907","BTC-USDT","buy","","","","","","","","","","ranging","","","88199.90000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:11:20.343907","ETH-USDT","buy","","","","","","","","","","ranging","","","2983.45000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:12:24.404760","BTC-USDT","buy","","","","","","","","","","ranging","","","88202.80000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:12:24.404760","ETH-USDT","buy","","","","","","","","","","ranging","","","2983.18000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:13:27.309047","BTC-USDT","buy","","","","","","","","","","ranging","","","88230.80000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:13:27.309047","ETH-USDT","buy","","","","","","","","","","ranging","","","2982.06000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:14:28.079731","BTC-USDT","buy","","","","","","","","","","ranging","","","88272.00000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
