timestamp,event_type,symbol,data
02:19:56.769,tsl_create,BTC-USDT,regime=ranging | entry=85360.0000 | side=short | min_hold=60.0000 | timeout=120.0000
02:19:56.770,config,BTC-USDT,regime=ranging | min_holding=60.0000 | timeout=120.0000 | loss_cut=4.0000 | timeout_loss=2.0000 | tp_atr_mult=None | initial_trail=0.0200
02:20:00.075,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=0.0551 | min_hold=120.0000 | profit=0.0057
02:20:12.700,tsl_create,SOL-USDT,regime=ranging | entry=127.9100 | side=short | min_hold=60.0000 | timeout=120.0000
02:20:12.700,config,SOL-USDT,regime=ranging | min_holding=60.0000 | timeout=120.0000 | loss_cut=4.0000 | timeout_loss=2.0000 | tp_atr_mult=None | initial_trail=0.0200
02:20:13.199,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=0.2738 | min_hold=120.0000 | profit=0.0061
02:20:13.492,tsl_create,SOL-USDT,regime=ranging | entry=127.9100 | side=short | min_hold=60.0000 | timeout=120.0000
02:20:13.493,config,SOL-USDT,regime=ranging | min_holding=60.0000 | timeout=120.0000 | loss_cut=4.0000 | timeout_loss=2.0000 | tp_atr_mult=None | initial_trail=0.0200
02:20:26.673,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=0.4984 | min_hold=120.0000 | profit=0.0062
02:20:27.002,tsl_check,SOL-USDT,check=min_holding_BLOCKED | minutes=0.2252 | min_hold=120.0000 | profit=0.0041
02:20:31.215,tsl_create,ETH-USDT,regime=ranging | entry=2782.0000 | side=short | min_hold=60.0000 | timeout=120.0000
02:20:31.215,config,ETH-USDT,regime=ranging | min_holding=60.0000 | timeout=120.0000 | loss_cut=4.0000 | timeout_loss=2.0000 | tp_atr_mult=None | initial_trail=0.0200
02:20:41.701,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=0.7489 | min_hold=120.0000 | profit=0.0062
02:20:42.067,tsl_check,SOL-USDT,check=min_holding_BLOCKED | minutes=0.4763 | min_hold=120.0000 | profit=0.0043
02:20:42.394,tsl_check,ETH-USDT,check=min_holding_BLOCKED | minutes=0.1863 | min_hold=120.0000 | profit=0.0047
02:20:44.381,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=0.7935 | min_hold=60.0000 | profit=-0.0016
02:20:54.237,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=0.9578 | min_hold=120.0000 | profit=0.0062
02:20:54.556,tsl_check,SOL-USDT,check=min_holding_BLOCKED | minutes=0.6844 | min_hold=120.0000 | profit=0.0039
02:20:54.796,tsl_check,ETH-USDT,check=min_holding_BLOCKED | minutes=0.3930 | min_hold=120.0000 | profit=0.0039
02:20:58.281,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=1.0252 | min_hold=60.0000 | profit=-0.0016
02:21:04.303,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=1.1256 | min_hold=60.0000 | profit=-0.0012
02:21:07.675,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=1.1818 | min_hold=120.0000 | profit=0.0062
