timestamp,event_type,symbol,data
18:43:25.011,tsl_create,ETH-USDT,regime=ranging | entry=2926.1100 | side=short | min_hold=60.0000 | timeout=120.0000
18:43:25.027,config,ETH-USDT,regime=ranging | min_holding=60.0000 | timeout=120.0000 | loss_cut=4.0000 | timeout_loss=2.0000 | tp_atr_mult=None | initial_trail=0.0200
18:43:25.027,open,ETH-USDT,side=short | price=2926.1100 | size=0.0680 | regime=ranging
18:43:52.874,tsl_create,BTC-USDT,regime=ranging | entry=87157.9000 | side=short | min_hold=60.0000 | timeout=120.0000
18:43:52.874,config,BTC-USDT,regime=ranging | min_holding=60.0000 | timeout=120.0000 | loss_cut=4.0000 | timeout_loss=2.0000 | tp_atr_mult=None | initial_trail=0.0200
18:43:52.876,open,BTC-USDT,side=short | price=87157.9000 | size=0.0028 | regime=ranging
18:44:37.765,tsl_create,SOL-USDT,regime=ranging | entry=136.4400 | side=short | min_hold=60.0000 | timeout=120.0000
18:44:37.765,config,SOL-USDT,regime=ranging | min_holding=60.0000 | timeout=120.0000 | loss_cut=4.0000 | timeout_loss=2.0000 | tp_atr_mult=None | initial_trail=0.0200
18:44:41.030,tsl_create,SOL-USDT,regime=ranging | entry=136.4400 | side=short | min_hold=60.0000 | timeout=120.0000
18:44:41.030,config,SOL-USDT,regime=ranging | min_holding=60.0000 | timeout=120.0000 | loss_cut=4.0000 | timeout_loss=2.0000 | tp_atr_mult=None | initial_trail=0.0200
18:44:41.030,open,SOL-USDT,side=short | price=136.4400 | size=1.4000 | regime=ranging
18:48:05.768,tsl_create,ETH-USDT,regime=ranging | entry=2919.0528 | side=short | min_hold=60.0000 | timeout=120.0000
18:48:05.769,config,ETH-USDT,regime=ranging | min_holding=60.0000 | timeout=120.0000 | loss_cut=4.0000 | timeout_loss=2.0000 | tp_atr_mult=None | initial_trail=0.0200
18:48:05.770,open,ETH-USDT,side=short | price=2919.0528 | size=0.0850 | regime=ranging
