symbol,regime,category,name,count,min,max,mean,values
SOL,ranging,indicator,MACD_hist,5494,-0.0464,0.0396,0.01498165271204951,
SOL,ranging,indicator,ATR,5494,0.0739,0.12,0.07748021477975973,
SOL,ranging,indicator,EMA12,5494,138.12,138.27,138.19790680742628,
SOL,ranging,indicator,EMA26,5494,138.21,138.36,138.22315799053513,
SOL,ranging,indicator,BB_upper,5494,138.32,138.72,138.35351110302148,
SOL,ranging,indicator,BB_middle,5494,138.15,138.4,138.16084637786676,
SOL,ranging,indicator,BB_lower,5494,137.86,138.11,137.96825991991264,
SOL,ranging,indicator,ADX,5300,20.05,49.92,25.459747169811322,
SOL,ranging,indicator,+DI,5300,29.04,90.98,56.44880566037737,
SOL,ranging,indicator,-DI,5300,9.02,70.96,43.55119433962264,
SOL,trending,indicator,price,1,138.11,138.11,138.11,
SOL,trending,indicator,RSI,1,38.36,38.36,38.36,
SOL,trending,indicator,MACD,1,-0.1143,-0.1143,-0.1143,
SOL,trending,indicator,MACD_signal,1,-0.1052,-0.1052,-0.1052,
SOL,trending,indicator,MACD_hist,1,-0.0091,-0.0091,-0.0091,
SOL,trending,indicator,ADX,1,25.03,25.03,25.03,
SOL,trending,indicator,+DI,1,67.49,67.49,67.49,
SOL,trending,indicator,-DI,1,32.51,32.51,32.51,
SOL,trending,indicator,ATR,1,0.0861,0.0861,0.0861,
SOL,trending,indicator,EMA12,1,138.12,138.12,138.12,
SOL,trending,indicator,EMA26,1,138.22,138.22,138.22,
SOL,trending,indicator,BB_upper,1,138.65,138.65,138.65,
SOL,trending,indicator,BB_middle,1,138.26,138.26,138.26,
SOL,trending,indicator,BB_lower,1,137.88,137.88,137.88,
XRP,ranging,indicator,price,5493,2.1,2.1,2.1,
XRP,ranging,indicator,RSI,5493,35.6,71.49,47.23882395776443,
XRP,ranging,indicator,MACD,5493,-0.0008,0.0004,-3.5627161842344806e-05,
XRP,ranging,indicator,MACD_signal,5493,-0.0006,0.0003,-1.8641907882759873e-05,
XRP,ranging,indicator,MACD_hist,5493,-0.0009,0.0007,-1.8259603131257966e-05,
XRP,ranging,indicator,ADX,5443,20.02,48.53,34.116913466838135,
XRP,ranging,indicator,+DI,5443,25.39,91.04,41.946011390777144,
XRP,ranging,indicator,-DI,5443,8.96,74.61,57.41143854492009,
XRP,ranging,indicator,ATR,5493,0.00062919,0.00162361,0.0010501538084835246,
XRP,ranging,indicator,EMA12,5493,2.1,2.1,2.1,
XRP,ranging,indicator,EMA26,5493,2.1,2.1,2.1,
XRP,ranging,indicator,BB_upper,5493,2.1,2.11,2.1004624066994357,
XRP,ranging,indicator,BB_middle,5493,2.1,2.1,2.1,
XRP,ranging,indicator,BB_lower,5493,2.1,2.1,2.1,
XRP,trending,indicator,price,2,2.1,2.1,2.1,
XRP,trending,indicator,RSI,2,48.3,71.49,59.894999999999996,
