timestamp,event_type,symbol,data
14:17:55.599,tsl_create,BTC-USDT,regime=ranging | entry=86747.2000 | side=short | min_hold=60.0000 | timeout=120.0000
14:17:55.599,config,BTC-USDT,regime=ranging | min_holding=60.0000 | timeout=120.0000 | loss_cut=4.0000 | timeout_loss=2.0000 | tp_atr_mult=None | initial_trail=0.0200
14:17:55.599,open,BTC-USDT,side=short | price=86747.2000 | size=0.0028 | regime=ranging
14:17:55.599,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=0.0000 | min_hold=60.0000 | profit=-0.0002
14:18:04.072,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=0.1412 | min_hold=120.0000 | profit=0.0091
14:18:15.869,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=0.3378 | min_hold=120.0000 | profit=0.0086
14:18:17.502,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=0.3651 | min_hold=60.0000 | profit=-0.0001
14:18:27.671,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=0.5345 | min_hold=120.0000 | profit=0.0084
14:18:39.465,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=0.7311 | min_hold=120.0000 | profit=0.0084
14:18:49.379,tsl_create,DOGE-USDT,regime=ranging | entry=0.1448 | side=short | min_hold=60.0000 | timeout=120.0000
14:18:49.380,config,DOGE-USDT,regime=ranging | min_holding=60.0000 | timeout=120.0000 | loss_cut=4.0000 | timeout_loss=2.0000 | tp_atr_mult=None | initial_trail=0.0200
14:18:49.380,open,DOGE-USDT,side=short | price=0.1448 | size=1310.0000 | regime=ranging
14:18:49.383,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=0.0001 | min_hold=60.0000 | profit=-0.0003
14:18:52.006,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=0.9401 | min_hold=120.0000 | profit=0.0083
14:18:52.359,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=0.0497 | min_hold=120.0000 | profit=0.0095
