timestamp,event_type,symbol,data
14:04:00.594,tsl_create,BTC-USDT,regime=ranging | entry=83668.0000 | side=long | min_hold=40.0000 | timeout=90.0000
14:04:00.594,config,BTC-USDT,regime=ranging | min_holding=40.0000 | timeout=90.0000 | loss_cut=3.0000 | timeout_loss=2.0000 | tp_atr_mult=None | initial_trail=0.0200
14:04:07.517,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=0.1154 | min_hold=40.0000 | profit=-0.0006
14:04:18.813,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=0.3037 | min_hold=40.0000 | profit=-0.0005
14:04:24.070,tsl_create,SOL-USDT,regime=ranging | entry=127.0699 | side=short | min_hold=40.0000 | timeout=90.0000
14:04:24.070,config,SOL-USDT,regime=ranging | min_holding=40.0000 | timeout=90.0000 | loss_cut=3.0000 | timeout_loss=2.0000 | tp_atr_mult=None | initial_trail=0.0200
14:04:33.343,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=0.5458 | min_hold=40.0000 | profit=-0.0007
14:04:33.662,tsl_check,SOL-USDT,check=min_holding_BLOCKED | minutes=0.1599 | min_hold=80.0000 | profit=0.0101
14:04:36.483,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=0.5982 | min_hold=40.0000 | profit=-0.0007
14:04:43.779,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=0.7198 | min_hold=40.0000 | profit=-0.0007
14:04:44.655,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=0.7344 | min_hold=40.0000 | profit=-0.0013
14:04:44.916,tsl_check,SOL-USDT,check=min_holding_BLOCKED | minutes=0.3474 | min_hold=80.0000 | profit=0.0110
14:04:50.961,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=0.8395 | min_hold=40.0000 | profit=-0.0006
14:04:56.209,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=0.9269 | min_hold=40.0000 | profit=-0.0015
14:04:56.462,tsl_check,SOL-USDT,check=min_holding_BLOCKED | minutes=0.5399 | min_hold=80.0000 | profit=0.0117
14:05:10.851,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=1.1710 | min_hold=40.0000 | profit=-0.0024
14:05:11.200,tsl_check,SOL-USDT,check=min_holding_BLOCKED | minutes=0.7855 | min_hold=80.0000 | profit=0.0128
14:05:22.337,tsl_create,DOGE-USDT,regime=ranging | entry=0.1383 | side=short | min_hold=40.0000 | timeout=90.0000
14:05:22.337,config,DOGE-USDT,regime=ranging | min_holding=40.0000 | timeout=90.0000 | loss_cut=3.0000 | timeout_loss=2.0000 | tp_atr_mult=None | initial_trail=0.0200
14:05:23.007,tsl_check,SOL-USDT,check=min_holding_BLOCKED | minutes=0.9823 | min_hold=80.0000 | profit=0.0090
14:05:23.087,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=1.3749 | min_hold=40.0000 | profit=-0.0023
14:05:23.412,tsl_check,SOL-USDT,check=min_holding_BLOCKED | minutes=0.9890 | min_hold=80.0000 | profit=0.0127
14:05:23.681,tsl_check,SOL-USDT,check=min_holding_BLOCKED | minutes=0.9935 | min_hold=80.0000 | profit=0.0092
14:05:23.735,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=0.0233 | min_hold=80.0000 | profit=0.0132
14:05:34.944,tsl_create,ETH-USDT,regime=ranging | entry=2720.9700 | side=short | min_hold=40.0000 | timeout=90.0000
14:05:34.944,config,ETH-USDT,regime=ranging | min_holding=40.0000 | timeout=90.0000 | loss_cut=3.0000 | timeout_loss=2.0000 | tp_atr_mult=None | initial_trail=0.0200
14:05:35.461,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=1.5811 | min_hold=40.0000 | profit=-0.0018
14:05:35.718,tsl_check,SOL-USDT,check=min_holding_BLOCKED | minutes=1.1941 | min_hold=80.0000 | profit=0.0110
14:05:35.962,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=0.2271 | min_hold=80.0000 | profit=0.0121
14:05:36.217,tsl_check,ETH-USDT,check=min_holding_BLOCKED | minutes=0.0212 | min_hold=80.0000 | profit=0.0040
14:05:36.640,tsl_create,ETH-USDT,regime=ranging | entry=2720.9700 | side=short | min_hold=40.0000 | timeout=90.0000
14:05:36.656,config,ETH-USDT,regime=ranging | min_holding=40.0000 | timeout=90.0000 | loss_cut=3.0000 | timeout_loss=2.0000 | tp_atr_mult=None | initial_trail=0.0200
14:05:44.181,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=0.3641 | min_hold=80.0000 | profit=0.0012
14:05:44.846,tsl_check,ETH-USDT,check=min_holding_BLOCKED | minutes=0.1368 | min_hold=40.0000 | profit=-0.0013
14:05:45.523,tsl_check,ETH-USDT,check=min_holding_BLOCKED | minutes=0.1481 | min_hold=40.0000 | profit=-0.0012
14:05:46.202,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=0.3978 | min_hold=80.0000 | profit=0.0012
14:05:46.847,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=1.7709 | min_hold=40.0000 | profit=-0.0016
14:05:47.518,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=1.7821 | min_hold=40.0000 | profit=-0.0016
14:05:48.047,tsl_check,BTC-USDT,check=min_holding_BLOCKED | minutes=1.7909 | min_hold=40.0000 | profit=-0.0012
14:05:48.156,tsl_check,ETH-USDT,check=min_holding_BLOCKED | minutes=0.1919 | min_hold=40.0000 | profit=-0.0012
14:05:48.288,tsl_check,SOL-USDT,check=min_holding_BLOCKED | minutes=1.4036 | min_hold=80.0000 | profit=0.0094
14:05:48.543,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=0.4368 | min_hold=80.0000 | profit=0.0108
14:05:48.802,tsl_check,ETH-USDT,check=min_holding_BLOCKED | minutes=0.2027 | min_hold=80.0000 | profit=0.0033
14:05:48.834,tsl_check,ETH-USDT,check=min_holding_BLOCKED | minutes=0.2032 | min_hold=40.0000 | profit=-0.0012
14:05:49.511,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=0.4529 | min_hold=80.0000 | profit=0.0012
14:05:50.202,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=0.4644 | min_hold=80.0000 | profit=0.0012
14:05:50.887,tsl_check,SOL-USDT,check=min_holding_BLOCKED | minutes=1.4470 | min_hold=80.0000 | profit=0.0033
14:05:51.562,tsl_check,SOL-USDT,check=min_holding_BLOCKED | minutes=1.4582 | min_hold=80.0000 | profit=0.0033
