timestamp,symbol,side,entry_price,exit_price,size,gross_pnl,commission,net_pnl,duration_sec,reason,win_rate
2025-10-22T21:11:42.607588,BTC-USDT,short,107437.6000,106820.7000,0.00056963,0.3514,0.1098,0.2416,71.984872,profit_harvesting,100.00
2025-10-22T22:33:41.454920,BTC-USDT,short,107036.0000,107094.8000,0.00057177,-0.0336,0.1102,-0.1438,3605.082128,max_holding_exceeded,50.00
2025-10-22T22:50:23.444686,ETH-USDT,short,3747.8200,3741.7600,0.01632949,0.0990,0.1101,-0.0111,1802.35487,max_holding_exceeded,33.33
2025-10-22T23:55:46.411154,ETH-USDT,short,3747.4000,3802.8200,0.01633132,-0.9051,0.1111,-1.0161,3602.164866,max_holding_exceeded,25.00
2025-10-23T00:10:14.837484,BTC-USDT,long,107482.7000,107649.0000,0.00056939,0.0947,0.1103,-0.0156,3603.854631,max_holding_exceeded,20.00
2025-10-23T01:25:36.391367,BTC-USDT,long,107540.7000,108167.1000,0.00056909,0.3565,0.1105,0.2460,3604.200841,max_holding_exceeded,33.33
2025-10-23T01:41:08.737776,ETH-USDT,long,3811.4600,3820.4000,0.01605684,0.1435,0.1103,0.0332,3601.33375,max_holding_exceeded,42.86
2025-10-23T02:41:52.177133,ETH-USDT,long,3820.5700,3831.6000,0.01601855,0.1767,0.1103,0.0663,3602.570662,max_holding_exceeded,50.00
2025-10-23T02:42:12.547010,BTC-USDT,long,108239.0000,108252.0000,0.00056542,0.0074,0.1102,-0.1028,3309.098622,max_holding_exceeded,44.44
2025-10-23T03:46:24.303932,BTC-USDT,long,108179.5000,108412.0000,0.00056573,0.1315,0.1103,0.0212,3604.850729,max_holding_exceeded,50.00
2025-10-23T03:47:15.504031,ETH-USDT,long,3822.4000,3823.7600,0.01601088,0.0218,0.1102,-0.0884,3602.424753,max_holding_exceeded,45.45
2025-10-23T04:47:26.863657,ETH-USDT,long,3823.4700,3843.2400,0.01600640,0.3164,0.1105,0.2060,3602.233814,max_holding_exceeded,50.00
2025-10-23T04:47:46.823339,BTC-USDT,long,108185.1000,108825.0000,0.00056570,0.3620,0.1105,0.2515,3445.156582,max_holding_exceeded,53.85
2025-10-23T06:09:03.154219,BTC-USDT,long,108640.0000,109021.0000,0.00056333,0.2146,0.1104,0.1043,4151.678908,max_holding_exceeded,57.14
2025-10-23T08:30:10.554945,ETH-USDT,long,3884.1500,3896.5000,0.01575634,0.1946,0.1104,0.0842,3601.430795,max_holding_exceeded,60.00
2025-10-23T09:50:58.000784,ETH-USDT,long,3895.4900,3884.0000,0.01571048,-0.1805,0.1100,-0.2905,3603.479792,max_holding_exceeded,56.25
2025-10-23T10:55:17.278661,ETH-USDT,long,3885.4200,3879.3400,0.01575119,-0.0958,0.1101,-0.2058,3601.020329,max_holding_exceeded,52.94
